% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=752493, Wed Jan 13 08:50:48 2016
1 15 0.000917711721047 1.0 14.4095641549 1.4409564154946327e+01 18.5306842461 20.1837648799 
2 29 0.000864945280347 1.02318774716 13.8759986004 1.3875998600399321e+01 17.3184959425 19.7519412484 
3 43 0.000841936698311 1.03700540041 12.6221635632 1.2622163563228140e+01 14.3617288297 18.8909585089 
4 57 0.000831298238738 1.06044519625 11.1559026498 1.1155902649827478e+01 13.1385314644 15.1420941862 
5 71 0.000838717665382 1.0700551965 9.34574497177 9.3457449717673775e+00 11.7302307151 13.2809851925 
6 85 0.000871224506405 1.08954101402 7.68518337725 7.6851833772518150e+00 9.50174509359 10.2471506248 
7 99 0.000912603802888 1.13015528483 7.22789304143 7.2278930414312219e+00 8.61690462872 10.0705309463 
8 113 0.000951154344934 1.17515902271 6.9626223423 6.9626223422983724e+00 7.5694078218 9.80582654512 
9 127 0.000986778838375 1.21800432555 6.94234297021 6.9423429702078403e+00 7.45271622841 9.95491703973 
10 141 0.00103533077648 1.25191015266 6.66932392015 6.6693239201528423e+00 7.82462536549 10.3533459172 
11 155 0.00108598367536 1.28681648409 6.56077366645 6.5607736664485028e+00 7.80244544401 10.8862470774 
12 169 0.00110715211654 1.3170115195 6.50416269664 6.5041626966372759e+00 7.38477013153 12.1950144359 
13 183 0.00113314139615 1.34467337646 6.32464700184 6.3246470018436129e+00 8.47203628452 12.8985907212 
14 197 0.0011800718799 1.36856368899 6.32464700184 6.7425269810780906e+00 7.58270312852 10.7149361041 
15 211 0.00123606077908 1.39625669836 6.32464700184 6.8301116733123797e+00 8.04606390471 10.7501840931 
16 225 0.00127970413227 1.42855178346 6.32464700184 6.4124977210811194e+00 7.7275866499 11.4277862193 
17 239 0.00131622699192 1.46075250357 6.32464700184 6.3735514502002237e+00 8.00331182605 11.6890194061 
